regime,xi,feller_ratio,scheme,steps,dt,price,reference,bias,across_seed_se,bias_over_se,negative_fraction,minimum_variance,path_failures,priced_seeds,runtime_s
feller_satisfied,0.3,1.77778,full_truncation,5,0.2,10.4658,10.3942,0.071601,0.0131902,5.42834,0.0701575,-0.108404,0,8,0.00622671
feller_satisfied,0.3,1.77778,full_truncation,10,0.1,10.4042,10.3942,0.010001,0.0254089,0.393602,0.0263619,-0.0568558,0,8,0.0098724
feller_satisfied,0.3,1.77778,full_truncation,20,0.05,10.4162,10.3942,0.0219599,0.0224168,0.979622,0.00852391,-0.0310373,0,8,0.0179088
feller_satisfied,0.3,1.77778,full_truncation,40,0.025,10.3887,10.3942,-0.00549175,0.0226299,-0.242676,0.00254977,-0.0150322,0,8,0.0344569
feller_satisfied,0.3,1.77778,full_truncation,80,0.0125,10.3936,10.3942,-0.000584169,0.0208072,-0.0280753,0.000753008,-0.00595011,0,8,0.0674821
feller_satisfied,0.3,1.77778,full_truncation,160,0.00625,10.4032,10.3942,0.00893402,0.0173249,0.515675,0.000214941,-0.00272595,0,8,0.133829
feller_satisfied,0.3,1.77778,full_truncation,320,0.003125,10.3997,10.3942,0.00549211,0.015396,0.356723,6.35937e-05,-0.00139327,0,8,0.267296
feller_satisfied,0.3,1.77778,naive_euler,5,0.2,-,10.3942,-,-,-,0.0531669,-0.108404,70854,0,0.00553091
feller_satisfied,0.3,1.77778,naive_euler,10,0.1,-,10.3942,-,-,-,0.0186691,-0.0568558,54226,0,0.00911493
feller_satisfied,0.3,1.77778,naive_euler,20,0.05,-,10.3942,-,-,-,0.00589766,-0.0310373,35716,0,0.0168558
feller_satisfied,0.3,1.77778,naive_euler,40,0.025,-,10.3942,-,-,-,0.00173891,-0.0150322,21625,0,0.0334779
feller_satisfied,0.3,1.77778,naive_euler,80,0.0125,-,10.3942,-,-,-,0.000503359,-0.00595011,12698,0,0.0680391
feller_satisfied,0.3,1.77778,naive_euler,160,0.00625,-,10.3942,-,-,-,0.000142637,-0.00272595,7241,0,0.133179
feller_satisfied,0.3,1.77778,naive_euler,320,0.003125,-,10.3942,-,-,-,4.21582e-05,-0.00139327,4301,0,0.264663
feller_violated,1,0.16,full_truncation,5,0.2,10.7123,9.37961,1.33269,0.0175718,75.8427,0.483364,-1.01148,0,8,0.00717591
feller_violated,1,0.16,full_truncation,10,0.1,10.041,9.37961,0.661344,0.0172019,38.4459,0.466712,-0.48416,0,8,0.0125689
feller_violated,1,0.16,full_truncation,20,0.05,9.69561,9.37961,0.316004,0.0176438,17.9102,0.428072,-0.254447,0,8,0.0232981
feller_violated,1,0.16,full_truncation,40,0.025,9.50889,9.37961,0.12928,0.0207018,6.24488,0.38109,-0.162465,0,8,0.0446634
feller_violated,1,0.16,full_truncation,80,0.0125,9.44814,9.37961,0.0685309,0.0211196,3.24489,0.335486,-0.0815039,0,8,0.0861196
feller_violated,1,0.16,full_truncation,160,0.00625,9.40369,9.37961,0.0240808,0.0234461,1.02707,0.296011,-0.0472257,0,8,0.167088
feller_violated,1,0.16,full_truncation,320,0.003125,9.40052,9.37961,0.020914,0.0177176,1.18041,0.262488,-0.022019,0,8,0.325269
feller_violated,1,0.16,naive_euler,5,0.2,-,9.37961,-,-,-,0.163044,-1.01148,240143,0,0.00461395
feller_violated,1,0.16,naive_euler,10,0.1,-,9.37961,-,-,-,0.0881087,-0.48416,274890,0,0.00596125
feller_violated,1,0.16,naive_euler,20,0.05,-,9.37961,-,-,-,0.04577,-0.254447,290387,0,0.00813067
feller_violated,1,0.16,naive_euler,40,0.025,-,9.37961,-,-,-,0.0233471,-0.140924,297850,0,0.0121516
feller_violated,1,0.16,naive_euler,80,0.0125,-,9.37961,-,-,-,0.0117891,-0.0815039,301369,0,0.0204556
feller_violated,1,0.16,naive_euler,160,0.00625,-,9.37961,-,-,-,0.00592393,-0.0472257,303111,0,0.0358635
feller_violated,1,0.16,naive_euler,320,0.003125,-,9.37961,-,-,-,0.00297007,-0.022019,304033,0,0.0678896
